,precision,recall,f1-score,support
1,0.6470588235294118,1.0,0.7857142857142858,11.0
2,0.5,0.4,0.4444444444444445,5.0
3,0.7272727272727273,0.8888888888888888,0.7999999999999999,9.0
4,0.0,0.0,0.0,7.0
accuracy,0.65625,0.65625,0.65625,0.65625
macro avg,0.46858288770053474,0.5722222222222222,0.5075396825396825,32.0
weighted avg,0.5050969251336899,0.65625,0.5645337301587302,32.0
