,precision,recall,f1-score,support
1,1.0,0.36363636363636365,0.5333333333333333,11.0
2,0.2777777777777778,1.0,0.4347826086956522,5.0
3,1.0,0.3333333333333333,0.5,9.0
4,1.0,1.0,1.0,7.0
accuracy,0.59375,0.59375,0.59375,0.59375
macro avg,0.8194444444444444,0.6742424242424243,0.6170289855072464,32.0
weighted avg,0.8871527777777778,0.59375,0.6106431159420289,32.0
