,precision,recall,f1-score,support
1,0.0,0.0,0.0,96.0
2,0.29,0.30526315789473685,0.29743589743589743,95.0
3,0.3191489361702128,0.6122448979591837,0.4195804195804196,98.0
4,1.0,1.0,1.0,95.0
accuracy,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
macro avg,0.4022872340425532,0.47937701396348015,0.42925407925407927,384.0
weighted avg,0.40059009308510635,0.4791666666666667,0.4280606546231546,384.0
