,precision,recall,f1-score,support
1,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
2,0.2608695652173913,0.6666666666666666,0.37500000000000006,9.0
3,1.0,0.09090909090909091,0.16666666666666669,11.0
4,0.0,0.0,0.0,8.0
accuracy,0.225,0.225,0.225,0.225
macro avg,0.48188405797101447,0.23106060606060605,0.20208333333333334,40.0
weighted avg,0.5336956521739131,0.225,0.21020833333333339,40.0
