,precision,recall,f1-score,support
1.0,0.0,0.0,0.0,97.0
2.0,0.2722222222222222,1.0,0.4279475982532751,98.0
3.0,0.0,0.0,0.0,85.0
4.0,0.0,0.0,0.0,80.0
accuracy,0.2722222222222222,0.2722222222222222,0.2722222222222222,0.2722222222222222
macro avg,0.06805555555555555,0.25,0.10698689956331878,360.0
weighted avg,0.07410493827160494,0.2722222222222222,0.11649684619116933,360.0
