,precision,recall,f1-score,support
1,0.0,0.0,0.0,12.0
2,0.0,0.0,0.0,9.0
3,0.27586206896551724,0.7272727272727273,0.4,11.0
4,0.0,0.0,0.0,8.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.06896551724137931,0.18181818181818182,0.1,40.0
weighted avg,0.07586206896551724,0.2,0.11000000000000001,40.0
