,precision,recall,f1-score,support
1,0.0,0.0,0.0,96.0
2,1.0,0.031578947368421054,0.061224489795918366,95.0
3,0.34265734265734266,1.0,0.5104166666666666,98.0
4,1.0,1.0,1.0,95.0
accuracy,0.5104166666666666,0.5104166666666666,0.5104166666666666,0.5104166666666666
macro avg,0.5856643356643356,0.5078947368421053,0.39291028911564624,384.0
weighted avg,0.582240675990676,0.5104166666666666,0.3928051038123583,384.0
