,precision,recall,f1-score,support
1,1.0,1.0,1.0,11.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,7.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,32.0
weighted avg,1.0,1.0,1.0,32.0
