0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Chip,Class
0.5032763,0.3641302,0.5838927,0.3209001,0.37173617,0.78914094,0.7451706,0.30211067,0.6984238,0.79112697,0.37045437,0.467579,0.26015577,0.25104845,0.39881378,0.42252484,0.42352647,0.4761744,0.53640014,0.2924232,0.5133701,0.33098227,0.4337212,0.41922793,0.36408818,0.41542634,0.5011554,0.3738665,0.37708127,0.18168545,0.42307776,0.42828652,257,4.0
0.4664594,0.3835248,0.53740203,0.2624225,0.47966617,0.82502216,0.6794393,0.12645538,0.6798514,1.1382395,0.6145561,0.54830956,0.5514265,0.26871687,0.49587786,0.60717994,0.44688964,0.7707553,0.76851976,0.3564155,0.4957138,0.46365106,0.4608535,0.639662,0.51067567,0.4074751,0.6405985,0.5259262,0.5347843,0.28173018,0.5450927,0.59739786,257,1.0
0.51808095,0.37659925,0.61494684,0.3252266,0.39491165,0.8171501,0.7862634,0.30467775,0.72997534,0.82550293,0.39724645,0.49486962,0.28697747,0.26508778,0.4083035,0.4476271,0.45291555,0.51153386,0.56650007,0.30990475,0.54197705,0.34194034,0.457643,0.44131958,0.3703639,0.44257683,0.51955545,0.39474863,0.40163118,0.18408608,0.45191145,0.44215727,257,4.0
0.5327079,0.4414299,0.6653513,0.299063,0.6225745,1.0446067,0.79205096,0.09769111,0.8256537,1.4519892,0.8516375,0.70954573,0.6660575,0.35022688,0.61951923,0.72689545,0.59063464,1.0215435,0.9222016,0.46010202,0.62114066,0.5555522,0.5095115,0.7307796,0.58202827,0.49233207,0.7764966,0.6357336,0.6345516,0.30632013,0.69542015,0.764889,257,3.0
0.52028483,0.4145724,0.6250093,0.30498227,0.53825545,0.9431081,0.77120787,0.16352665,0.77448213,1.2315439,0.69253457,0.6228313,0.5505971,0.2999413,0.5350666,0.63689363,0.5316956,0.8419999,0.80786794,0.38664758,0.5847214,0.48511174,0.5067982,0.64570475,0.53041685,0.47105324,0.6923364,0.56361616,0.5600589,0.27441108,0.6034568,0.6549247,257,2.0
0.5207436,0.4171199,0.63178074,0.29633293,0.5416241,0.9881589,0.76247334,0.1365439,0.7606321,1.2768843,0.73655057,0.6331737,0.59525156,0.30044073,0.5506198,0.66896,0.51895577,0.8900925,0.85924953,0.39297092,0.58447,0.52688545,0.5221542,0.6790157,0.56534207,0.44772053,0.70790625,0.5973935,0.59590507,0.29779434,0.62321734,0.6794816,257,1.0
0.53235155,0.4344417,0.6675978,0.30409583,0.5952291,1.0468179,0.79739064,0.101350315,0.820287,1.4143479,0.8281877,0.7088588,0.6576939,0.34001517,0.60537136,0.74389136,0.59427965,1.0104946,0.9047243,0.45229006,0.6139903,0.55507314,0.51409006,0.7236862,0.575706,0.49067336,0.76409084,0.62923825,0.62535995,0.29947734,0.6844616,0.74596083,257,3.0
0.5032937,0.3534662,0.59005034,0.31852892,0.3394374,0.7666325,0.7552228,0.33563495,0.6708061,0.7010621,0.29318792,0.43772745,0.2194967,0.23297642,0.36420363,0.40836653,0.4066913,0.42298347,0.5143615,0.2670594,0.51510555,0.3003914,0.44097126,0.3885619,0.338045,0.39001694,0.47149816,0.35685772,0.354277,0.17236975,0.39840806,0.3943915,257,4.0
0.52497077,0.4213355,0.662701,0.30232882,0.5650068,0.98025656,0.78254324,0.14345708,0.78641677,1.303918,0.75008655,0.66348857,0.5860525,0.32246,0.56810045,0.67039305,0.5664946,0.8981763,0.852181,0.42143184,0.5857012,0.5083279,0.4986552,0.6754509,0.544237,0.48094392,0.7186707,0.5867098,0.5810248,0.28216273,0.6247728,0.684241,257,3.0
0.5302787,0.43122068,0.66154826,0.295778,0.6050204,1.054758,0.7950174,0.09806414,0.80795634,1.4319552,0.8335576,0.7040702,0.6778473,0.33274177,0.59409946,0.7453899,0.5924569,1.0107975,0.9303166,0.4424954,0.61631733,0.57270336,0.527616,0.7402353,0.6006227,0.48613074,0.7767331,0.64074653,0.64484847,0.31554383,0.674143,0.7553095,257,1.0
0.48235142,0.39909804,0.5714588,0.26506191,0.5104996,0.8967604,0.6897452,0.10017721,0.69432765,1.2560325,0.733624,0.62860024,0.60867745,0.28819197,0.5451689,0.6645591,0.49383187,0.8881538,0.8210351,0.38978207,0.535394,0.49260768,0.48637167,0.6737626,0.5530716,0.44035476,0.6855787,0.595141,0.5719687,0.30067438,0.59890926,0.6561795,257,2.0
