,precision,recall,f1-score,support
1,0.0,0.0,0.0,96.0
2,0.328719723183391,1.0,0.4947916666666667,95.0
3,0.0,0.0,0.0,98.0
4,1.0,1.0,1.0,95.0
accuracy,0.4947916666666667,0.4947916666666667,0.4947916666666667,0.4947916666666667
macro avg,0.33217993079584773,0.5,0.3736979166666667,384.0
weighted avg,0.328719723183391,0.4947916666666667,0.36980523003472227,384.0
