0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Chip,Class
0.27172178,0.08085302,-0.10495086,-0.024669738,-0.21498643,-0.48743528,0.45671177,0.096031494,0.7626238,0.20115963,-0.35047546,-0.12747066,0.37701875,-0.62692475,0.108383834,1.236314,0.599682,-0.1395207,0.88514143,1.6022396,-1.2317063,2.2527137,0.1742052,-0.36304134,0.3702214,1.2324786,0.6446895,0.6354817,-0.097828336,-0.17381118,-0.24660349,-0.2802247,23,4.0
0.3493236,-0.82164407,-0.56965315,-0.49183005,-3.4955919,-0.5398853,-0.6964244,-0.9902878,-0.53077537,0.50510293,-0.81971973,-1.4300946,-0.086611636,-4.133797,-0.51555264,0.3700327,-1.130635,-1.585777,0.46668264,0.68029094,-2.6595144,0.16781199,-1.3186424,-1.8674955,-0.89359653,-0.43848717,-0.27643365,0.236134,-0.60581267,-0.22334981,-1.7191384,-1.1540145,23,1.0
0.35107666,-0.82650775,-0.6257553,-0.48460156,-3.5993345,-0.58421576,-0.6593109,-1.1005772,-0.60062057,0.47641668,-0.74133694,-1.4063472,-0.21280132,-4.1075883,-0.43727124,0.46447414,-1.0022895,-1.7003039,0.34572756,0.56822115,-2.8260076,0.2390584,-1.2485578,-1.923378,-0.8491901,-0.35964292,-0.19596338,0.116052315,-0.62611747,-0.32580295,-1.6840788,-1.0912049,23,1.0
0.40563306,-0.85592085,-0.67877734,-0.47934115,-3.9951167,-0.7945322,-0.5685954,-1.4277287,-0.68886054,0.33783948,-0.35681927,-1.2958539,-0.58765054,-3.9026837,-0.17979497,0.9565817,-0.4962018,-1.8677334,-0.0016583875,0.30202207,-3.3615253,0.6718521,-0.85440683,-2.125188,-0.490765,0.07182046,0.124891095,-0.18355653,-0.6145179,-0.50353414,-1.3547517,-0.92234695,23,2.0
0.24164271,0.03684274,-0.12766686,-0.031289786,-0.23623759,-0.5065087,0.3595478,0.12390535,0.66472894,0.1901451,-0.30161002,-0.14373685,0.34158164,-0.689915,0.10000469,1.1286411,0.5269376,-0.15307172,0.84496045,1.5020083,-1.1058234,2.183626,0.15102208,-0.34439212,0.35655108,1.1706122,0.5958488,0.5558265,-0.077012666,-0.1328991,-0.33664593,-0.29742914,23,4.0
0.35110024,-0.87570685,-0.7176785,-0.40745693,-4.3493214,-1.094162,-0.4135294,-1.9139187,-0.78224397,0.020548359,0.17557538,-0.94935316,-1.2268896,-3.2340996,0.22016674,1.4533494,0.23318943,-1.9829032,-0.6709037,-0.102864206,-3.8367467,1.371003,-0.28811422,-2.0282836,-0.019174187,0.6601911,0.5402063,-0.67576337,-0.7255986,-0.96133465,-0.9130628,-0.7765358,23,2.0
0.28133267,-0.70564765,-0.6228003,-0.344629,-3.8292341,-1.0354973,-0.2964294,-1.8215106,-0.6997033,-0.05603167,0.3401761,-0.7419612,-1.1913537,-2.701522,0.28474674,1.4043396,0.38921025,-1.6795101,-0.694666,-0.15208489,-3.4344833,1.5202059,-0.038888775,-1.7413818,0.11332013,0.60387397,0.5038834,-0.7903994,-0.6583495,-0.9343245,-0.6434784,-0.6339746,23,3.0
0.24361174,-0.74088925,-0.5724958,-0.4259591,-3.4209094,-0.76122653,-0.44316405,-1.3097862,-0.44774768,0.32809922,-0.34823048,-1.1047717,-0.5154389,-3.4666445,-0.11823395,0.8077035,-0.48374176,-1.5297161,0.10542263,0.49093795,-2.90182,0.64875054,-0.67783266,-1.900583,-0.42545927,0.053158984,0.08725517,-0.19038439,-0.50318325,-0.4742798,-1.1314423,-0.9334231,23,1.0
0.3401435,-0.7845985,-0.6323467,-0.52094066,-3.5706904,-0.6371454,-0.61448205,-1.1237477,-0.6158413,0.41585484,-0.62321717,-1.3535705,-0.33940354,-3.939286,-0.3739906,0.6028694,-0.82101583,-1.6306429,0.22823247,0.5114647,-2.8153098,0.33773488,-1.1196783,-1.9035785,-0.7651879,-0.25411963,-0.16935167,-0.0253402,-0.65194714,-0.46469325,-1.5596423,-1.0109177,23,1.0
0.27730167,-0.74130905,-0.5934547,-0.4853574,-3.6687205,-0.85187256,-0.44232243,-1.5453222,-0.6660319,0.3294368,-0.18408874,-1.1931329,-0.7370722,-3.3516905,-0.13573152,0.8835825,-0.2604938,-1.7757593,-0.23948637,0.04122522,-3.0992627,0.62549746,-0.70064974,-1.9944199,-0.38190374,0.16551685,0.19094333,-0.36125442,-0.63757384,-0.5998758,-1.1376325,-0.9561307,23,2.0
