,precision,recall,f1-score,support
1,0.7333333333333333,1.0,0.846153846153846,11.0
2,0.0,0.0,0.0,5.0
3,0.8181818181818182,1.0,0.9,9.0
4,1.0,0.8571428571428571,0.923076923076923,7.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.6378787878787879,0.7142857142857143,0.6673076923076923,32.0
weighted avg,0.7009469696969697,0.8125,0.7459134615384615,32.0
