,precision,recall,f1-score,support
1,0.7142857142857143,0.9090909090909091,0.8,11.0
2,0.0,0.0,0.0,5.0
3,0.8181818181818182,1.0,0.9,9.0
4,1.0,1.0,1.0,7.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.6331168831168832,0.7272727272727273,0.675,32.0
weighted avg,0.6943993506493507,0.8125,0.746875,32.0
