0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Chip,Class
-0.027984781,0.3825958,-0.14769809,-0.7716284,-0.99903655,-0.8172623,-1.3122119,-2.5089858,0.53205496,-0.6862109,-0.07067683,0.41292077,-0.8913443,0.9793003,-0.13319711,-0.85183245,1.19198,1.3213034,-0.56249696,-1.3851081,-2.5259433,-1.0659992,-1.0232759,-0.53848064,1.4429829,-1.7860264,1.5604863,-0.96147686,0.6744541,0.9130198,1.1252593,-1.4765375,4,3.0
-0.043347508,0.64658505,0.68527097,-0.77334625,-2.3734305,-1.3695294,-0.4401261,-0.8125165,0.30359507,-1.0434872,-0.14089073,1.1481044,-0.7980835,0.93873996,0.4903985,-1.4666036,1.013507,0.98386663,-0.25899658,-0.9232977,-2.0428922,-1.037583,0.44471925,0.54791456,1.7653676,-0.40836692,1.9142941,-1.3342738,0.7158209,1.4422637,1.9722838,-0.8210972,4,4.0
-0.029733984,0.744116,1.0793099,-0.61083305,-3.18489,-1.8226333,-0.16295348,0.13751817,0.3517657,-0.39583737,0.33796862,1.5264983,-0.21305223,0.45132786,1.0391732,-1.9296027,0.3190292,0.6307291,0.7384589,-0.32000697,-2.0039828,-0.5729148,0.6238993,0.4110851,2.0157852,0.43800062,1.6215562,-1.4888735,0.29918575,1.8058672,2.1680534,-0.7559772,4,1.0
-0.017738713,0.73377514,0.8188584,-0.55156595,-3.2195728,-1.140328,0.32011244,0.34537724,-0.30787665,-1.6630082,-0.8856949,0.45289734,-1.230242,1.7055128,0.12120105,-0.6409573,1.7755715,1.5364816,-1.1841532,-1.4907768,-1.8648791,-1.9479045,1.3982792,1.2418674,1.1516213,-0.042950682,2.2432923,-1.3930463,0.45445815,1.8417946,1.9748104,-0.8905065,4,2.0
-0.041733656,0.6513432,0.7272249,-0.677825,-2.6446648,-1.1693914,-0.08961627,-0.32949436,0.044563383,-1.3431787,-0.48111272,0.8467683,-1.0209193,1.2303774,0.30035207,-1.0452478,1.3602967,1.1905143,-0.7387278,-1.1640857,-1.9018475,-1.3987297,0.87861186,0.90569407,1.3979981,-0.24475738,2.106944,-1.362228,0.6443752,1.5300837,1.9695003,-0.7379886,4,4.0
-0.044109516,0.6966871,0.9182252,-0.6964073,-2.7750998,-1.4667653,-0.10117692,-0.10505433,0.17280245,-1.0416,-0.17184938,1.2164593,-0.7130053,0.9031324,0.6467462,-1.4309167,0.94809866,0.89373434,-0.1721723,-0.76942426,-1.8580014,-1.0555162,0.8515693,0.8379499,1.6798443,0.06756888,1.9367392,-1.4249755,0.5898118,1.6480558,2.1545951,-0.6447536,4,4.0
-0.044708606,0.6605344,0.7509277,-0.7223136,-2.5351403,-1.3025862,-0.21486488,-0.41836944,0.15815443,-1.1903062,-0.3052287,1.0176674,-0.89183503,1.0576234,0.42859408,-1.247992,1.1552835,1.0536433,-0.49716896,-1.0040848,-1.943978,-1.205034,0.7482546,0.79554766,1.5494702,-0.2436858,2.0296524,-1.3471793,0.6716639,1.544087,2.0023122,-0.7192795,4,4.0
-0.042256773,0.7899486,1.0790205,-0.73588294,-3.0653632,-1.869124,-0.28967825,-0.14193234,0.42144054,-0.6501407,0.26111814,1.6599147,-0.36368594,0.54688483,1.0187169,-2.0060225,0.47807544,0.6679119,0.56429255,-0.4482406,-2.1866367,-0.70374715,0.61974543,0.52469605,2.1671643,0.23603378,1.8277731,-1.5610167,0.5131169,1.8469517,2.3006978,-0.7938579,4,1.0
-0.031858657,0.6777201,0.76054037,-0.5875934,-2.8790998,-1.0771922,0.23267888,0.18011191,-0.19843535,-1.507734,-0.8061653,0.5247395,-1.1515683,1.4254444,0.07807453,-0.6566385,1.6128697,1.3809333,-1.0811782,-1.4337165,-1.8035918,-1.8192494,1.2400937,1.1386788,1.2423154,-0.14192733,2.183505,-1.1994112,0.53381026,1.6079414,1.9399339,-0.7828493,4,2.0
-0.018607471,0.7264321,0.8137894,-0.61750513,-3.1733482,-1.1224589,0.20769644,0.15546045,-0.23568179,-1.7198398,-0.8710553,0.5569572,-1.3055708,1.6116464,0.105171606,-0.66710687,1.7902392,1.5323638,-1.258259,-1.5937073,-1.9132286,-1.9019269,1.3720421,1.2809756,1.1532513,-0.18378907,2.371779,-1.392185,0.5372523,1.7659725,2.0477822,-0.7899916,4,2.0
