,precision,recall,f1-score,support
1,0.33217993079584773,1.0,0.4987012987012987,96.0
2,0.0,0.0,0.0,95.0
3,0.0,0.0,0.0,98.0
4,1.0,0.14736842105263157,0.2568807339449541,95.0
accuracy,0.2864583333333333,0.2864583333333333,0.2864583333333333,0.2864583333333333
macro avg,0.33304498269896193,0.2868421052631579,0.1888955081615632,384.0
weighted avg,0.3304408160322953,0.2864583333333333,0.18822654791691487,384.0
