,precision,recall,f1-score,support
0,0.25135135135135134,0.96875,0.39914163090128757,96.0
1,0.5714285714285714,0.08421052631578947,0.14678899082568805,95.0
2,0.0,0.0,0.0,98.0
3,0.0,0.0,0.0,95.0
accuracy,0.2630208333333333,0.2630208333333333,0.2630208333333333,0.2630208333333333
macro avg,0.20569498069498068,0.2632401315789474,0.1364826554317439,384.0
weighted avg,0.20420688545688545,0.2630208333333333,0.13610039243480201,384.0
