,precision,recall,f1-score,support
1,0.7692307692307693,0.9090909090909091,0.8333333333333333,11.0
2,0.7142857142857143,1.0,0.8333333333333333,5.0
3,1.0,0.5555555555555556,0.7142857142857143,9.0
4,1.0,1.0,1.0,7.0
accuracy,0.84375,0.84375,0.84375,0.84375
macro avg,0.8708791208791209,0.8661616161616161,0.8452380952380952,32.0
weighted avg,0.8760302197802198,0.84375,0.8363095238095237,32.0
