Chip,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Temperature,Class
3,0.025376791276985448,0.046484574249762656,0.042025053063694175,0.03504270818642427,0.04059215082583296,0.03450613013642123,0.03716567480231597,0.036307194302834474,0.031837692084769505,0.03355262767326899,0.03407685105251575,0.031248222771285722,0.03399022759845929,0.033205756907394454,0.027986491556313997,0.031376861750495456,0.02919871934096246,0.03253069125403335,0.031416095069616984,0.029448312382629304,0.02650114688040853,0.029015267036405973,0.030252382428036694,0.03189850720734644,0.02519933502538866,0.022865277861278545,0.029421793354558957,0.027281278764683344,0.021799749235320243,0.027362150707580628,0.02209285831178688,0.028941426901188838,20.0,1
3,0.02444251082321027,0.04664200555062502,0.042627801022573686,0.03571259779905457,0.040984811356933035,0.03413861391387497,0.03655548162168898,0.03592738234699078,0.03235679486619981,0.03330115017190046,0.03451841564177409,0.03148604764864596,0.03359676764061967,0.03288215719892287,0.028803979554252873,0.031026474641426736,0.029670612249236752,0.03237958540181928,0.030910544876337306,0.030178500774129063,0.027296883943201233,0.02876578390492736,0.03065984003080437,0.03232979218359362,0.025112027882507354,0.023009478110704522,0.0288245923625603,0.026550751790424022,0.02218085741753637,0.02685829103930902,0.02239979668350013,0.0278696695507156,20.1,1
3,0.025050679950922302,0.046716796553127306,0.04143289897727229,0.03603839105274033,0.04097728354451164,0.034959797124662725,0.036697103636907424,0.03626706155575632,0.03179276693162836,0.032846499110115196,0.03431482619751941,0.03170971196102196,0.03384511478087228,0.03281248199131969,0.0284463921984827,0.03141083510153123,0.0289683507084298,0.03252991649234602,0.03039234730520066,0.02984112215038441,0.02778366655205808,0.02903005568516634,0.030438731886317967,0.031845270478118,0.025039522400529833,0.022954661255434897,0.02909649392939585,0.02636889163692622,0.021859380035270458,0.027750159391348554,0.0222810157587284,0.02850177366595345,20.2,1
3,0.024817025244967927,0.04675502509364295,0.041011119787743654,0.035404930736377495,0.04161925912932901,0.034902326844380056,0.03672535910277075,0.03645660831351605,0.03179950546189628,0.032980800212940455,0.03463479801270601,0.03178948867047517,0.03322583447113696,0.032748985555204564,0.028801811261169426,0.03100424743232349,0.0292843413416655,0.03251642623315216,0.03091214719723263,0.029928025260107988,0.027911175421972648,0.028259778604331525,0.030786894398722627,0.03156062961329179,0.02570189367398645,0.0233457285537042,0.028977170880555264,0.026446573377715537,0.021876871436379564,0.026716893952921553,0.022352238210813495,0.028746086512866784,20.3,1
3,0.02463677740116364,0.04692888839048279,0.04146481606871209,0.03593222493788515,0.04155691186197272,0.034735535365571335,0.03669210992683643,0.0362338544496488,0.0318164363986089,0.033695331285282105,0.03377383620503964,0.032681641246645105,0.03322993512503295,0.032962808562712324,0.02905610386169559,0.030044764107733376,0.028991556575045513,0.03246522183170287,0.03131910758676021,0.029000499663545135,0.02762577347025578,0.02906510425488107,0.030884678407619957,0.03143427317929583,0.02552821265188684,0.02259933674594138,0.029322052697343257,0.026810937614262117,0.02176079497020016,0.027418635251074613,0.021952379486164384,0.028379460418998158,20.4,1
3,0.024230818591326055,0.04707071736098048,0.04119376773403002,0.036435456210443,0.04113776079818926,0.03496884855993991,0.03605225960365914,0.03589787106926392,0.032110735756090567,0.03305930720724808,0.03371227484986967,0.032687740114017365,0.03325462134861738,0.03264054208530819,0.029776719276859587,0.029722984875961173,0.029545687435133198,0.03230157944424559,0.03081842711161935,0.0300200721120449,0.028334268701196166,0.028646738621215508,0.030988450726855372,0.03194163608779353,0.025973102392824333,0.023407960776959044,0.028580149501035608,0.026449532914419656,0.02180001297770681,0.026771388456223278,0.021527177507424507,0.028941389791499184,20.5,1
3,0.024280800418661576,0.04738462642752169,0.041417502423257105,0.03591503257436132,0.04108455149121096,0.03560198871924876,0.0361584430060545,0.036269995593926,0.0326962767449661,0.03292911642948514,0.03387231463887368,0.032979005949126526,0.033400517910154394,0.032603457021549875,0.029799987011397598,0.029411055002144467,0.028663382437896887,0.0323828892460347,0.030833172525371672,0.029841820312943638,0.028039568725296827,0.028290399595581585,0.030806812997594614,0.03223862490898983,0.025726717150240382,0.023143189178263687,0.029226163095934714,0.026644581141618395,0.021589820953733654,0.02717912640522208,0.021252780362341746,0.02833627960099603,20.6,1
3,0.024429281786998942,0.04721334596693026,0.03986365992338944,0.03599800544912785,0.04153601257394569,0.03557086537100269,0.036268005126002034,0.03591544995677502,0.03266983814478035,0.033038794232925724,0.03363523330655652,0.03292153563012963,0.03311351325012946,0.03266115376986923,0.02992759558342705,0.02971201150104169,0.029541065272376956,0.032224144613640614,0.031239762110585503,0.029493526895485747,0.02812305366924791,0.027697695028379078,0.030191397492854682,0.032757044130004104,0.02566391445941118,0.02349359381811661,0.02934921893482912,0.027495765518397098,0.022101388340959538,0.026459151278817896,0.02153663197135542,0.028158344892506966,20.7,1
3,0.02365066683352056,0.04710543400260182,0.040624624938619784,0.036852678322191315,0.040955306399836,0.03591729430715348,0.03565063984191615,0.0357062163988607,0.032912136860651586,0.03356480402585564,0.03409127959817859,0.033752903509551374,0.032734538306703455,0.03214648844185897,0.03056629447752493,0.029017235588308276,0.029330950619295502,0.032651725353488696,0.03183312710544757,0.029457723999561262,0.027381003091768653,0.02780173011050131,0.030592932004570174,0.03191937671440016,0.025731990842717867,0.023525125498930245,0.029370402062532528,0.02736069699429009,0.022186065060534697,0.02606639695854257,0.020815256371157425,0.028726955358928948,20.8,1
3,0.02283840173726654,0.04744162066286943,0.03989514542036217,0.03684374416795493,0.04180816344588385,0.036197782084651575,0.03566801717888004,0.036661838567897356,0.033248481160259837,0.03309342422978306,0.03385634153380402,0.03346122204097135,0.03266950688859011,0.03253057577791249,0.031210443617689824,0.02901726089112885,0.02973801013062213,0.03234153483820574,0.03160265944560503,0.029536869901845023,0.02744006273783027,0.027399097187193352,0.02997762540160277,0.03214462049939586,0.025622485581216742,0.02365553222845457,0.02891151879093396,0.027105944112249824,0.02169153245213143,0.026316112546112054,0.02143314275195865,0.028641281988737048,20.9,1
3,0.02381501921862467,0.047158836962543214,0.03959865647354667,0.03683271998506465,0.04132225414212963,0.03683790667297639,0.03551543058836367,0.03583583708788202,0.033671304035661556,0.03278607978331831,0.033685423623392115,0.0339113000611838,0.03311811788419452,0.03224249549978778,0.031023522303710364,0.028825005413210286,0.029586785729101214,0.03294528951488886,0.03206729586846722,0.02967025926229823,0.0276204820144419,0.027029406391386256,0.030086027126395822,0.032048077852486624,0.025070461373780946,0.02318263239050493,0.028791320501999187,0.027842706135615958,0.022451794202214763,0.02544723236543717,0.02157420761049912,0.028406111924891852,21.0,1
3,0.02345704462521016,0.047557996168316255,0.03972955730476446,0.03751950453216397,0.04130827033841242,0.03711110251266388,0.03507196457960068,0.03565632141249171,0.034642164647922316,0.03322532468683521,0.033807091642826734,0.03428486705695376,0.033383621000670674,0.0320262112995343,0.03067148847425303,0.028120216441264414,0.02942572591089371,0.03317195267443124,0.03248008453441657,0.029243541678143418,0.027256238369498927,0.0272011321478446,0.029745752646137297,0.032249120498326886,0.024880133960547827,0.023063186371659147,0.02916024063081515,0.02738822801147919,0.022152644685814824,0.026000498504095727,0.02096688289131029,0.02804188976070143,21.1,1
3,0.023514234293898192,0.047692706280154054,0.03920028218824216,0.037712116956050146,0.04110255667310708,0.03789588301051519,0.03570473130060435,0.03572669759006894,0.03413134256526815,0.033374206674177585,0.03399687192597711,0.03371797829805777,0.033615215911689374,0.031713038127998416,0.03038181875802221,0.02857215241607486,0.02954029823573758,0.033012335949073296,0.032417218891454234,0.029434749166747348,0.026634865522733076,0.027166088436542533,0.029123757761936257,0.03188889066789259,0.024684984625339853,0.022987484250669918,0.029140764955676607,0.027381889772320693,0.021808745028310643,0.02653196092314338,0.02203272007017559,0.028161412772340817,21.2,1
3,0.023192583969973764,0.04772988121252996,0.03942481687195033,0.03710389639812039,0.04116625494537862,0.03722546735211138,0.035336109439376207,0.0359301365100294,0.034927890663675874,0.033772383479985325,0.033705741419317314,0.03381446089462384,0.03362966286172713,0.03204803420885894,0.030819453567499662,0.028739594702109614,0.029277950126755166,0.032872243521011014,0.03244945161966285,0.029259461233016745,0.02637750175253587,0.02752034246536178,0.030301812382265356,0.031746340787337894,0.02455939319198185,0.023223182974286636,0.02838411069860503,0.027222422534949886,0.021531665262482937,0.0265347499964542,0.02191895490323731,0.028254048052787754,21.3,1
3,0.023140907391032025,0.04701214127002467,0.03940887254860531,0.03754149896357491,0.041296007937465344,0.03832429193522695,0.034320152479338416,0.03628910058251269,0.03513708534645308,0.03393426303079374,0.03385956709945938,0.032924684722238196,0.03400144800524255,0.032296857345541524,0.030519891017348075,0.029150969871062412,0.029218900839733792,0.03229129217914926,0.03197623539599208,0.028895275021383785,0.026142643331485037,0.02815521653530539,0.029967511324392897,0.03199533348577334,0.02452362091212933,0.022959446152333567,0.029170544462511865,0.026978072915008238,0.021892107066309476,0.026912189908914592,0.021761716736757187,0.0280021541869013,21.4,1
