0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Chip,Class
0.20447928,0.16715637,-0.19723058,-0.049537603,1.0552956,0.084407076,-0.12222445,-0.28775725,-0.1912583,0.2573638,0.3630474,-0.06963647,0.66309613,0.28114113,-0.18870328,-0.24316615,0.6570716,-0.21801698,0.2838933,-0.056866188,0.7898479,0.4065464,0.34328473,0.2750594,0.123823464,0.28705075,0.12583044,-0.0052378345,0.07201179,0.19120172,0.0077377576,0.3239712,4,3.0
0.13138977,0.054343067,-0.008581489,0.33602163,1.7909875,-0.02313282,-0.090397984,-0.3167032,-0.02082156,0.5645667,1.2071359,-0.01850405,0.94487137,0.1086829,-0.50235534,-0.097916625,1.0031809,-0.045783054,0.15848772,0.36675057,0.6522549,0.711953,0.4168809,0.7558901,0.1229129,0.117032975,0.46797633,0.11873612,0.2442061,0.20494492,0.6110152,0.32133615,4,4.0
0.35286295,0.117737256,-0.08796593,0.19943646,1.4386563,-0.066850774,-0.07219012,-0.2874416,-0.21096241,0.45446324,1.1470703,-0.07251067,0.96006584,0.29119608,-0.105112046,-0.17784935,1.0038188,-0.4468936,0.42108393,0.054584563,0.53988034,0.31911287,0.51481754,0.532679,-0.08384354,-0.0489521,0.07008832,0.15081516,0.07448895,0.09876348,0.31098336,0.14138125,4,1.0
0.14306922,0.047934286,-0.004496012,0.33510903,1.7908902,-0.023308309,-0.08506078,-0.3174423,-0.026059907,0.55135375,1.1841797,-0.019315284,0.9267952,0.10740327,-0.48644385,-0.10101269,0.9947726,-0.023575012,0.16535023,0.34532985,0.67050946,0.69102764,0.42352235,0.7312117,0.12447673,0.09967669,0.48322153,0.11028771,0.26941043,0.20420168,0.60347074,0.34166557,4,2.0
0.23073687,0.092118345,-0.031863943,0.2779604,2.226934,-0.2312749,-0.23264943,-0.42971337,0.022470906,0.85946417,1.6955612,0.0058587044,0.86534476,0.19842198,-0.2969156,-0.08568572,1.0860549,-0.31246844,0.29556915,0.16243544,0.91492593,0.73007816,0.6427879,0.8170417,-0.27583453,0.33686778,0.2889071,0.11236054,-0.012302175,-0.10046406,0.48565876,0.4009282,4,4.0
0.18849581,0.16516809,-0.18330379,-0.055682454,1.0820093,0.068663254,-0.14812435,-0.34692895,-0.18354447,0.2393716,0.32383132,-0.05820141,0.64514136,0.28505465,-0.1920273,-0.2609302,0.6484884,-0.20679079,0.2898295,-0.068497606,0.7909473,0.43181336,0.29330212,0.27984893,0.12782964,0.28881544,0.14275038,-0.033133924,0.0927251,0.19518878,-0.030969836,0.32891598,4,4.0
0.06617634,0.052313834,-0.07114896,0.28506023,1.7916749,-0.08786978,-0.16316062,-0.29223034,0.012293901,0.68740934,1.3893445,-0.012199149,1.041433,0.19899286,-0.42435944,-0.09611195,1.1290921,-0.08555624,0.12844078,0.35644495,0.5684621,0.7904963,0.41491628,0.89106286,-0.025093965,0.21350461,0.44305003,0.1674322,0.18837972,0.13077366,0.65164816,0.22600652,4,4.0
0.16564223,0.17953679,-0.18792807,-0.03260788,1.182509,0.024330584,-0.20253724,-0.48379445,-0.19062546,0.2175748,0.3285574,-0.038635068,0.6472605,0.3150845,-0.19361208,-0.2956653,0.67970085,-0.20603175,0.30742782,-0.083341286,0.79520446,0.49095276,0.21970919,0.28583896,0.112310186,0.30378485,0.18131945,-0.06296819,0.1296629,0.20194595,-0.0848365,0.33806282,4,1.0
0.09666617,-0.07601756,-0.090522036,0.23725294,1.8948406,-0.1562823,-0.21186708,-0.2916126,0.06149903,0.76750916,1.4270674,-0.106468886,0.944379,0.16516344,-0.25047883,-0.1613405,1.2231585,-0.25436416,0.15474775,0.33548185,0.68132615,0.6437903,0.5042622,0.8302308,-0.14068657,0.3478098,0.3658703,0.1939646,-0.006045308,-0.02497463,0.51658326,0.30922884,4,2.0
0.17742643,0.06899625,-0.08429721,0.23966798,2.0672987,-0.18735947,-0.24873443,-0.39873102,0.0021177195,0.826851,1.601926,-0.08231135,0.90851414,0.21282025,-0.2515365,-0.12846932,1.1438326,-0.3374414,0.26938325,0.21105146,0.8678554,0.7162824,0.6168711,0.79794455,-0.26373643,0.36251697,0.28367817,0.2089418,-0.010598488,-0.066884086,0.50838464,0.38253197,4,2.0
0.14401892,0.059153765,-0.0100091435,0.3356244,1.7868361,-0.03244999,-0.0874515,-0.32322383,-0.030061986,0.5592236,1.211912,-0.014438357,0.92897004,0.11780415,-0.47602338,-0.10043364,0.99211806,-0.002927918,0.17002882,0.33548367,0.669832,0.7007316,0.4306546,0.740336,0.094661884,0.10386123,0.4835996,0.11646416,0.28078982,0.19504805,0.6142597,0.32796314,4,2.0
0.13554934,0.04187461,-0.0052338988,0.3405308,1.7908014,-0.031287137,-0.07803869,-0.32239485,-0.0278917,0.55661976,1.1869798,-0.018902875,0.93678945,0.105209164,-0.48960814,-0.09924749,0.9985839,-0.025864292,0.16994837,0.35380864,0.6681589,0.6993621,0.42373395,0.7301186,0.11808023,0.10681634,0.48875052,0.112499006,0.25762153,0.20166056,0.59995496,0.3307185,4,3.0
0.21184462,0.09200191,-0.06774722,0.22478208,2.1774044,-0.20729671,-0.23625232,-0.4225439,0.016514849,0.824547,1.6856246,-0.0031050518,0.8940959,0.22988941,-0.31697974,-0.061538476,1.0555884,-0.28755853,0.3472216,0.11047758,0.91342324,0.7014329,0.64107466,0.7702979,-0.26675764,0.33176124,0.2682334,0.10535677,-0.020063058,-0.07084265,0.48064166,0.39707056,4,3.0
0.14584845,0.056240298,-0.010638706,0.3231365,1.7561059,0.0012179526,-0.09770001,-0.29504123,-0.018848214,0.5374638,1.1558982,-0.028308563,0.90293,0.10344007,-0.47622815,-0.09839708,0.9706197,-0.036654573,0.14128853,0.3460923,0.6551725,0.6719377,0.40942776,0.71133137,0.141555,0.08955683,0.45855445,0.110096425,0.2694203,0.20842561,0.591115,0.35286713,4,4.0
