,precision,recall,f1-score,support
1,0.391304347826087,0.375,0.3829787234042554,96.0
2,0.3553299492385787,0.7368421052631579,0.4794520547945205,95.0
3,0.0,0.0,0.0,98.0
4,1.0,1.0,1.0,95.0
accuracy,0.5234375,0.5234375,0.5234375,0.5234375
macro avg,0.4366585742661664,0.5279605263157895,0.465607694549694,384.0
weighted avg,0.4331290691900243,0.5234375,0.4617549548236666,384.0
