,precision,recall,f1-score,support
1,0.0,0.0,0.0,11.0
2,0.15625,1.0,0.2702702702702703,5.0
3,0.0,0.0,0.0,9.0
4,0.0,0.0,0.0,7.0
accuracy,0.15625,0.15625,0.15625,0.15625
macro avg,0.0390625,0.25,0.06756756756756757,32.0
weighted avg,0.0244140625,0.15625,0.04222972972972973,32.0
